               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  86,            0.050694,            0.069704,            0.026844,             0.60912,             0.47229,             0.56788,             0.40361,            0.045156,            0.050032,            0.018993,            0.007195,            0.007195,            0.007195
                  87,            0.050666,            0.069807,             0.02676,              0.6104,             0.47146,             0.56809,             0.40363,            0.045128,            0.050006,            0.018966,            0.007162,            0.007162,            0.007162
                  88,            0.050675,            0.069786,            0.026638,             0.60939,             0.47238,             0.56856,             0.40423,            0.045109,            0.049994,            0.018947,            0.007129,            0.007129,            0.007129
                  89,            0.050645,            0.069806,            0.026738,                0.61,             0.47332,              0.5697,              0.4054,            0.045083,            0.049976,            0.018902,            0.007096,            0.007096,            0.007096
                  90,            0.050673,            0.069682,            0.026729,             0.61253,             0.47426,             0.57056,             0.40606,            0.045057,            0.049966,            0.018885,            0.007063,            0.007063,            0.007063
                  91,            0.050573,             0.06977,             0.02667,             0.61166,             0.47522,             0.57065,             0.40659,            0.045033,            0.049952,            0.018875,             0.00703,             0.00703,             0.00703
                  92,            0.050466,            0.069453,            0.026638,             0.61334,             0.47574,             0.57212,             0.40761,            0.045008,            0.049931,            0.018866,            0.006997,            0.006997,            0.006997
                  93,            0.050484,            0.069802,            0.026486,             0.61302,              0.4774,             0.57322,             0.40778,            0.044984,            0.049913,            0.018838,            0.006964,            0.006964,            0.006964
                  94,            0.050448,            0.069591,            0.026557,             0.62849,             0.47098,               0.574,             0.40818,            0.044959,            0.049896,            0.018813,            0.006931,            0.006931,            0.006931
                  95,            0.050404,            0.069521,            0.026511,             0.61434,             0.47851,             0.57508,             0.40897,            0.044936,            0.049881,            0.018787,            0.006898,            0.006898,            0.006898
                  96,            0.050424,            0.069467,            0.026431,             0.61536,             0.47827,             0.57537,             0.40937,            0.044918,            0.049871,            0.018766,            0.006865,            0.006865,            0.006865
                  97,            0.050381,            0.069478,            0.026421,             0.63207,             0.47106,             0.57536,             0.40964,              0.0449,            0.049866,            0.018735,            0.006832,            0.006832,            0.006832
                  98,            0.050337,            0.069466,            0.026325,              0.6151,             0.48062,             0.57592,             0.41016,            0.044875,            0.049851,            0.018714,            0.006799,            0.006799,            0.006799
                  99,            0.050346,            0.069456,            0.026351,             0.61313,             0.48075,             0.57541,             0.40999,            0.044856,            0.049837,            0.018705,            0.006766,            0.006766,            0.006766
                 100,            0.050276,            0.069249,            0.026383,             0.62352,             0.47596,             0.57494,             0.41014,            0.044839,            0.049828,            0.018684,            0.006733,            0.006733,            0.006733
                 101,            0.050319,            0.069393,             0.02618,             0.61732,             0.47943,             0.57492,              0.4099,            0.044825,             0.04982,             0.01866,              0.0067,              0.0067,              0.0067
                 102,            0.050237,            0.069334,            0.026266,              0.6216,             0.47982,             0.57687,             0.41061,            0.044802,             0.04981,            0.018639,            0.006667,            0.006667,            0.006667
                 103,            0.050242,            0.069252,            0.026203,             0.61283,             0.48478,              0.5776,             0.41146,            0.044785,            0.049808,            0.018626,            0.006634,            0.006634,            0.006634
                 104,            0.050176,            0.069266,            0.026126,              0.6145,             0.48276,             0.57704,             0.41095,            0.044766,            0.049807,            0.018605,            0.006601,            0.006601,            0.006601
                 105,            0.050153,            0.069552,            0.026188,             0.61925,             0.48131,              0.5773,             0.41128,            0.044746,            0.049792,            0.018565,            0.006568,            0.006568,            0.006568
                 106,             0.05015,            0.069397,            0.026011,             0.61213,             0.48634,             0.57825,             0.41175,            0.044726,            0.049784,            0.018543,            0.006535,            0.006535,            0.006535
                 107,            0.050122,             0.06947,            0.025959,              0.6275,             0.47851,             0.57798,             0.41191,            0.044708,            0.049763,            0.018509,            0.006502,            0.006502,            0.006502
                 108,            0.050084,              0.0693,             0.02602,             0.61623,             0.48557,             0.57847,             0.41219,            0.044687,            0.049749,            0.018486,            0.006469,            0.006469,            0.006469
