               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 153,            0.048885,              0.0684,            0.024605,             0.63372,             0.49148,             0.58817,             0.42288,            0.044021,            0.049319,             0.01775,            0.004984,            0.004984,            0.004984
                 154,            0.048917,            0.068203,             0.02457,             0.63713,             0.49084,             0.58868,             0.42374,             0.04401,            0.049305,            0.017742,            0.004951,            0.004951,            0.004951
                 155,            0.048873,            0.068517,            0.024541,             0.61505,              0.5028,             0.58915,             0.42387,            0.044002,            0.049308,             0.01775,            0.004918,            0.004918,            0.004918
                 156,            0.048928,            0.068396,            0.024505,             0.62466,             0.49814,             0.58969,             0.42314,            0.044002,            0.049311,            0.017749,            0.004885,            0.004885,            0.004885
                 157,            0.048862,            0.068279,              0.0245,             0.61329,             0.50656,             0.59086,             0.42375,            0.043994,            0.049304,            0.017733,            0.004852,            0.004852,            0.004852
                 158,            0.048778,            0.068338,            0.024421,             0.61192,             0.50653,             0.59019,             0.42347,            0.043981,            0.049297,            0.017713,            0.004819,            0.004819,            0.004819
                 159,            0.048745,            0.068223,            0.024433,             0.63143,             0.49512,             0.58988,             0.42342,            0.043967,             0.04929,            0.017709,            0.004786,            0.004786,            0.004786
                 160,            0.048718,            0.068496,            0.024288,             0.61262,             0.50569,             0.59026,             0.42407,            0.043952,            0.049284,            0.017694,            0.004753,            0.004753,            0.004753
                 161,            0.048743,             0.06839,            0.024387,             0.62297,             0.49891,             0.58984,             0.42399,            0.043929,            0.049268,            0.017683,             0.00472,             0.00472,             0.00472
                 162,            0.048718,            0.067995,            0.024259,             0.63013,             0.49609,             0.59044,             0.42384,            0.043908,            0.049253,            0.017667,            0.004687,            0.004687,            0.004687
                 163,            0.048623,             0.06797,            0.024227,             0.61742,             0.50212,             0.59051,             0.42404,            0.043893,            0.049234,            0.017636,            0.004654,            0.004654,            0.004654
                 164,            0.048728,             0.06831,            0.024249,             0.61402,             0.50687,             0.59217,             0.42514,            0.043882,             0.04922,            0.017609,            0.004621,            0.004621,            0.004621
                 165,            0.048617,            0.068119,            0.024129,             0.63819,             0.49437,             0.59251,             0.42553,            0.043869,            0.049205,            0.017586,            0.004588,            0.004588,            0.004588
